HumanGEM-Subsystem	TermSize	N_Hit	Hit	ES	pvalue_nominal	NES	FDR
Tryptophan metabolism	26	14	HMDB0001377;HMDB0002111;HMDB0000217;HMDB0000763;HMDB0000208;HMDB0001487;HMDB0000221;HMDB0000715;HMDB0000148;HMDB0004081;HMDB0001967;HMDB0000232;HMDB0000902;HMDB0003125	0.21950042173267692	0.9412844036697248	0.6228948586709466	0.9335402043125218
Fatty acid oxidation	84	18	HMDB0000221;HMDB0003125;HMDB0000208;HMDB0001967;HMDB0001487;HMDB0002226;HMDB0003419;HMDB0000792;HMDB0000902;HMDB0001275;HMDB0001377;HMDB0000538;HMDB0000045;HMDB0000254;HMDB0000250;HMDB0002111;HMDB0000217;HMDB0001248	0.21598007495151433	0.9309734513274336	0.6522103619842683	0.9356636601809517
Vitamin E metabolism	22	16	HMDB0001893;HMDB0001487;HMDB0001275;HMDB0000295;HMDB0000044;HMDB0000902;HMDB0000250;HMDB0006327;HMDB0003125;HMDB0000045;HMDB0000538;HMDB0001377;HMDB0001967;HMDB0000221;HMDB0000217;HMDB0002111	0.21536886378034342	0.9318600368324125	0.6323110675758549	0.937507826859763
Ascorbate and aldarate metabolism	20	11	HMDB0006355;HMDB0000902;HMDB0000044;HMDB0003125;HMDB0002111;HMDB0001264;HMDB0000217;HMDB0001487;HMDB0000221;HMDB0001451;HMDB0001967	0.2449105658105522	0.8817204301075269	0.65781244205054	0.9419898272834103
Peptide metabolism	23	9	HMDB0000158;HMDB0000517;HMDB0000148;HMDB0000191;HMDB0000162;HMDB0002111;HMDB0000167;HMDB0000123;HMDB0000574	-0.2670198979291389	0.8540772532188842	-0.6968308626899541	0.9645917186859801
Histidine metabolism	29	15	HMDB0003125;HMDB0001487;HMDB0000051;HMDB0001967;HMDB0000123;HMDB0001185;HMDB0000902;HMDB0000898;HMDB0001377;HMDB0000045;HMDB0000538;HMDB0000148;HMDB0000939;HMDB0000250;HMDB0002111	0.5325517604398842	0.06099815157116451	1.5282875363303365	0.9792663960088065
Ether lipid metabolism	10	3	HMDB0000221;HMDB0000217;HMDB0002111	0.2875627208623236	0.9785575048732943	0.4970010581550114	0.984851239168636
Acyl-CoA hydrolysis	60	8	HMDB0002226;HMDB0002231;HMDB0003419;HMDB0001275;HMDB0002356;HMDB0000826;HMDB0002177;HMDB0002111	-0.39591457518545015	0.4539614561027837	-0.9983604322365414	1.0
Beta oxidation of odd-chain fatty acids (mitochondrial)	13	5	HMDB0001248;HMDB0001275;HMDB0001487;HMDB0000902;HMDB0002111	-0.33941035908780104	0.8054968287526427	-0.7190314620226945	1.0
Glycerophospholipid metabolism	30	15	HMDB0000221;HMDB0001487;HMDB0000990;HMDB0001967;HMDB0001185;HMDB0000902;HMDB0000211;HMDB0001377;HMDB0000538;HMDB0000939;HMDB0000250;HMDB0002111;HMDB0001341;HMDB0000217;HMDB0001248	0.5369640979753489	0.04990757855822551	1.5409498181261256	1.0
Nucleotide metabolism	48	13	HMDB0000295;HMDB0001487;HMDB0000250;HMDB0000217;HMDB0000538;HMDB0002111;HMDB0001341;HMDB0000299;HMDB0000273;HMDB0000045;HMDB0000293;HMDB0000221;HMDB0000902	-0.249143078906184	0.8344370860927153	-0.7238831465234387	1.0
Valine, leucine, and isoleucine metabolism	35	16	HMDB0002111;HMDB0000148;HMDB0001275;HMDB0000123;HMDB0001341;HMDB0000902;HMDB0000538;HMDB0000221;HMDB0000208;HMDB0001487;HMDB0000217;HMDB0001377;HMDB0000754;HMDB0003125;HMDB0000045;HMDB0001967	-0.25847100047979393	0.7308533916849015	-0.8039776024487211	1.0
