KEGG_pathway_name	KEGG_pathway_ID	Pathway_Class	HMDB.ID	N_met	hit_n	hit_HMDB_ID	ES	pvalue_nominal	NES	FDR_pri	FDR
Fatty acid degradation	map00071	Lipid metabolism	HMDB0000045;HMDB0000062;HMDB0000220;HMDB0000222;HMDB0000250;HMDB0000538;HMDB0000547;HMDB0000902;HMDB0001070;HMDB0001088;HMDB0001166;HMDB0001206;HMDB0001248;HMDB0001338;HMDB0001339;HMDB0001423;HMDB0001484;HMDB0001487;HMDB0001521;HMDB0001967;HMDB0002009;HMDB0002111;HMDB0002845;HMDB0003571;HMDB0003932;HMDB0003934;HMDB0003935;HMDB0003936;HMDB0003937;HMDB0003938;HMDB0003939;HMDB0003940;HMDB0003941;HMDB0003942;HMDB0003943;HMDB0003944;HMDB0003945;HMDB0003946;HMDB0003948;HMDB0003949;HMDB0006402;HMDB0006404;HMDB0059597	43	12	HMDB0003948;HMDB0001967;HMDB0000538;HMDB0002111;HMDB0001248;HMDB0000045;HMDB0000250;HMDB0000902;HMDB0001487;HMDB0059597;HMDB0003937;HMDB0003932	0.5744579726717708	0.04891304347826087	1.579025791048558	0.2906063462142633	0.2906063462142633
Alanine, aspartate and glutamate metabolism	map00250	Amino acid metabolism	HMDB0000030;HMDB0000042;HMDB0000045;HMDB0000051;HMDB0000052;HMDB0000056;HMDB0000112;HMDB0000119;HMDB0000123;HMDB0000124;HMDB0000125;HMDB0000134;HMDB0000148;HMDB0000161;HMDB0000168;HMDB0000175;HMDB0000191;HMDB0000208;HMDB0000217;HMDB0000221;HMDB0000223;HMDB0000243;HMDB0000250;HMDB0000254;HMDB0000280;HMDB0000517;HMDB0000536;HMDB0000538;HMDB0000547;HMDB0000574;HMDB0000595;HMDB0000641;HMDB0000691;HMDB0000812;HMDB0000828;HMDB0000902;HMDB0000904;HMDB0001049;HMDB0001062;HMDB0001096;HMDB0001128;HMDB0001178;HMDB0001179;HMDB0001201;HMDB0001206;HMDB0001248;HMDB0001254;HMDB0001259;HMDB0001273;HMDB0001301;HMDB0001333;HMDB0001341;HMDB0001377;HMDB0001397;HMDB0001423;HMDB0001429;HMDB0001487;HMDB0001491;HMDB0001554;HMDB0001967;HMDB0002111;HMDB0003125;HMDB0003337;HMDB0003362;HMDB0006483;HMDB0011111;HMDB0015532;HMDB0059597	68	32	HMDB0000517;HMDB0000052;HMDB0001301;HMDB0059597;HMDB0000208;HMDB0001491;HMDB0000123;HMDB0000254;HMDB0001341;HMDB0003125;HMDB0000191;HMDB0000223;HMDB0000134;HMDB0000574;HMDB0000045;HMDB0000902;HMDB0001967;HMDB0000538;HMDB0001487;HMDB0001429;HMDB0000250;HMDB0001248;HMDB0001259;HMDB0000051;HMDB0000221;HMDB0000148;HMDB0000217;HMDB0001333;HMDB0001377;HMDB0000904;HMDB0001096;HMDB0002111	0.4638442528721463	0.021922428330522766	1.6047018401891695	0.2925262680210842	0.2925262680210842
Caffeine metabolism	map00232	Biosynthesis of other secondary metabolites	HMDB0000902;HMDB0001206;HMDB0001248;HMDB0001377;HMDB0001423;HMDB0001426;HMDB0001487;HMDB0001847;HMDB0001860;HMDB0001889;HMDB0001982;HMDB0001991;HMDB0002111;HMDB0002123;HMDB0002825;HMDB0003099;HMDB0003125;HMDB0003178;HMDB0004400;HMDB0010738;HMDB0011103;HMDB0011105;HMDB0011107	23	6	HMDB0002111;HMDB0000902;HMDB0001248;HMDB0003125;HMDB0001487;HMDB0001377	0.6078998073217701	0.14100185528756956	1.3490491914242684	0.29829434479136024	0.29829434479136024
Vitamin B6 metabolism	map00750	Cofactors and vitamins metabolism	HMDB0000017;HMDB0000051;HMDB0000239;HMDB0000547;HMDB0001248;HMDB0001319;HMDB0001377;HMDB0001429;HMDB0001431;HMDB0001491;HMDB0001520;HMDB0001545;HMDB0001555;HMDB0002111;HMDB0003125;HMDB0003344;HMDB0006954;HMDB0006955;HMDB0015532	19	7	HMDB0001491;HMDB0001248;HMDB0001377;HMDB0003125;HMDB0002111;HMDB0001429;HMDB0000051	0.5795564127290241	0.1474820143884892	1.357997525472959	0.3011659161517785	0.3011659161517785
Oxidative phosphorylation	map00190	Energy metabolism	HMDB0000126;HMDB0000134;HMDB0000254;HMDB0000538;HMDB0000902;HMDB0001060;HMDB0001072;HMDB0001112;HMDB0001248;HMDB0001270;HMDB0001341;HMDB0001362;HMDB0001377;HMDB0001429;HMDB0001473;HMDB0001487;HMDB0002111;HMDB0003178;HMDB0059597	19	12	HMDB0000134;HMDB0001429;HMDB0001487;HMDB0001377;HMDB0000254;HMDB0000538;HMDB0001072;HMDB0002111;HMDB0001341;HMDB0001248;HMDB0059597;HMDB0000902	0.48636141753601136	0.14130434782608695	1.33687277154233	0.3037760577817128	0.3037760577817128
beta-Alanine metabolism	map00410	Metabolism of other amino acids	HMDB0000002;HMDB0000026;HMDB0000033;HMDB0000051;HMDB0000056;HMDB0000076;HMDB0000148;HMDB0000177;HMDB0000191;HMDB0000194;HMDB0000208;HMDB0000210;HMDB0000217;HMDB0000221;HMDB0000300;HMDB0000464;HMDB0000479;HMDB0000657;HMDB0000902;HMDB0001106;HMDB0001206;HMDB0001248;HMDB0001377;HMDB0001423;HMDB0001487;HMDB0001491;HMDB0001520;HMDB0001967;HMDB0002111;HMDB0003125;HMDB0011111;HMDB0011639;HMDB0015532;HMDB0059597	34	15	HMDB0001377;HMDB0003125;HMDB0000221;HMDB0000051;HMDB0001487;HMDB0000148;HMDB0001491;HMDB0001248;HMDB0000217;HMDB0000902;HMDB0001967;HMDB0000191;HMDB0002111;HMDB0059597;HMDB0000208	0.516844612559294	0.06839186691312385	1.4832120335897665	0.3057911823227563	0.3057911823227563
Amino sugar and nucleotide sugar metabolism	map00520	Carbohydrate metabolism	HMDB0000042;HMDB0000051;HMDB0000082;HMDB0000124;HMDB0000143;HMDB0000148;HMDB0000215;HMDB0000230;HMDB0000243;HMDB0000250;HMDB0000263;HMDB0000285;HMDB0000286;HMDB0000290;HMDB0000295;HMDB0000302;HMDB0000538;HMDB0000547;HMDB0000641;HMDB0000645;HMDB0000660;HMDB0000902;HMDB0000935;HMDB0001018;HMDB0001062;HMDB0001121;HMDB0001129;HMDB0001176;HMDB0001206;HMDB0001254;HMDB0001341;HMDB0001367;HMDB0001401;HMDB0001423;HMDB0001429;HMDB0001487;HMDB0001514;HMDB0001586;HMDB0001967;HMDB0002111;HMDB0003345;HMDB0003362;HMDB0003556;HMDB0004270;HMDB0006268;HMDB0015531;HMDB0015532	47	15	HMDB0002111;HMDB0000148;HMDB0001341;HMDB0000660;HMDB0000051;HMDB0000250;HMDB0000302;HMDB0000538;HMDB0001429;HMDB0000230;HMDB0001487;HMDB0000902;HMDB0003345;HMDB0001967;HMDB0000295	0.5232105821993314	0.06284658040665435	1.5014807405591892	0.31397509143870017	0.31397509143870017
Taurine and hypotaurine metabolism	map00430	Metabolism of other amino acids	HMDB0000251;HMDB0000574;HMDB0000692;HMDB0000965;HMDB0000996;HMDB0001377;HMDB0001491;HMDB0001967;HMDB0002757;HMDB0002991;HMDB0004195;HMDB0015531	12	6	HMDB0000574;HMDB0002991;HMDB0001491;HMDB0001967;HMDB0001377;HMDB0002757	0.6119694364133439	0.137291280148423	1.3580804985068817	0.316833029269162	0.316833029269162
Glycine, serine and threonine metabolism	map00260	Amino acid metabolism	HMDB0000005;HMDB0000043;HMDB0000045;HMDB0000050;HMDB0000051;HMDB0000064;HMDB0000092;HMDB0000097;HMDB0000099;HMDB0000119;HMDB0000123;HMDB0000128;HMDB0000139;HMDB0000148;HMDB0000161;HMDB0000167;HMDB0000187;HMDB0000208;HMDB0000214;HMDB0000218;HMDB0000243;HMDB0000250;HMDB0000271;HMDB0000272;HMDB0000517;HMDB0000538;HMDB0000547;HMDB0000574;HMDB0000586;HMDB0000696;HMDB0000742;HMDB0000807;HMDB0000902;HMDB0000939;HMDB0001022;HMDB0001024;HMDB0001149;HMDB0001167;HMDB0001185;HMDB0001206;HMDB0001248;HMDB0001252;HMDB0001341;HMDB0001352;HMDB0001377;HMDB0001396;HMDB0001423;HMDB0001426;HMDB0001429;HMDB0001451;HMDB0001487;HMDB0001491;HMDB0001533;HMDB0001846;HMDB0001967;HMDB0002111;HMDB0002134;HMDB0003125;HMDB0003406;HMDB0006454;HMDB0012210;HMDB0013639;HMDB0014312;HMDB0015532	64	28	HMDB0000517;HMDB0002134;HMDB0000208;HMDB0001491;HMDB0000123;HMDB0001341;HMDB0003125;HMDB0000214;HMDB0000128;HMDB0000574;HMDB0000045;HMDB0000902;HMDB0000099;HMDB0001967;HMDB0000064;HMDB0000538;HMDB0001487;HMDB0001429;HMDB0000250;HMDB0001248;HMDB0001185;HMDB0000051;HMDB0000148;HMDB0000939;HMDB0001451;HMDB0001377;HMDB0000167;HMDB0002111	0.39049506896002756	0.1362862010221465	1.3062637237198818	0.33837673267251595	0.33837673267251595
Starch and sucrose metabolism	map00500	Carbohydrate metabolism	HMDB0000024;HMDB0000061;HMDB0000122;HMDB0000127;HMDB0000143;HMDB0000163;HMDB0000187;HMDB0000217;HMDB0000221;HMDB0000224;HMDB0000250;HMDB0000252;HMDB0000258;HMDB0000269;HMDB0000277;HMDB0000285;HMDB0000286;HMDB0000295;HMDB0000464;HMDB0000492;HMDB0000538;HMDB0000547;HMDB0000660;HMDB0000757;HMDB0000807;HMDB0000902;HMDB0000935;HMDB0001134;HMDB0001270;HMDB0001338;HMDB0001341;HMDB0001348;HMDB0001383;HMDB0001401;HMDB0001429;HMDB0001448;HMDB0001480;HMDB0001487;HMDB0001491;HMDB0001551;HMDB0001565;HMDB0001586;HMDB0001967;HMDB0002091;HMDB0002111;HMDB0003345;HMDB0003403;HMDB0003514;HMDB0003971;HMDB0004836;HMDB0004866;HMDB0004950;HMDB0006752;HMDB0006790;HMDB0006857;HMDB0007940;HMDB0010699;HMDB0010708;HMDB0013960;HMDB0015532;HMDB0032197	61	18	HMDB0000221;HMDB0000250;HMDB0000660;HMDB0001487;HMDB0001341;HMDB0001491;HMDB0000217;HMDB0000024;HMDB0006857;HMDB0000902;HMDB0000295;HMDB0000122;HMDB0001348;HMDB0001429;HMDB0001967;HMDB0002111;HMDB0000538;HMDB0003345	0.4972317370004175	0.06371681415929203	1.5015259683186575	0.3532219778685377	0.3532219778685377
Glycerophospholipid metabolism	map00564	Lipid metabolism	HMDB0000097;HMDB0000114;HMDB0000126;HMDB0000149;HMDB0000464;HMDB0000547;HMDB0000564;HMDB0000614;HMDB0000674;HMDB0000895;HMDB0000902;HMDB0001197;HMDB0001248;HMDB0001333;HMDB0001338;HMDB0001413;HMDB0001473;HMDB0001487;HMDB0001565;HMDB0006968;HMDB0007098;HMDB0007853;HMDB0008923;HMDB0009778;HMDB0010382;HMDB0010570;HMDB0011503;HMDB0013472;HMDB0056387	29	4	HMDB0001333;HMDB0001248;HMDB0001487;HMDB0000902	0.6432692307692318	0.2124756335282651	1.2282767916140176	0.3543128425315042	0.3543128425315042
Phenylalanine metabolism	map00360	Amino acid metabolism	HMDB0000027;HMDB0000045;HMDB0000051;HMDB0000060;HMDB0000130;HMDB0000134;HMDB0000148;HMDB0000158;HMDB0000159;HMDB0000205;HMDB0000208;HMDB0000209;HMDB0000250;HMDB0000464;HMDB0000538;HMDB0000547;HMDB0000641;HMDB0000692;HMDB0000707;HMDB0001248;HMDB0001268;HMDB0001377;HMDB0001423;HMDB0001491;HMDB0001967;HMDB0002052;HMDB0002111;HMDB0002281;HMDB0003125;HMDB0006344;HMDB0006503;HMDB0015531	32	14	HMDB0000134;HMDB0000158;HMDB0001491;HMDB0000208;HMDB0000250;HMDB0001248;HMDB0003125;HMDB0002111;HMDB0000045;HMDB0000538;HMDB0001377;HMDB0000051;HMDB0000148;HMDB0001967	0.5661625283786034	0.027522935779816515	1.6066471550048766	0.3564945718574371	0.3564945718574371
Butanoate metabolism	map00650	Carbohydrate metabolism	HMDB0000039;HMDB0000045;HMDB0000060;HMDB0000250;HMDB0000254;HMDB0000538;HMDB0000547;HMDB0000902;HMDB0001022;HMDB0001088;HMDB0001166;HMDB0001206;HMDB0001248;HMDB0001375;HMDB0001423;HMDB0001484;HMDB0001487;HMDB0002009;HMDB0002111	19	8	HMDB0001487;HMDB0000902;HMDB0000250;HMDB0001248;HMDB0000045;HMDB0000538;HMDB0000254;HMDB0002111	0.5180383128109718	0.20825515947467166	1.2525721739298032	0.35832076010803277	0.35832076010803277
Androgen and Estrogen Metabolism	map00150	Lipid metabolism	HMDB0000053;HMDB0000061;HMDB0000077;HMDB0000142;HMDB0000145;HMDB0000151;HMDB0000217;HMDB0000221;HMDB0000234;HMDB0000295;HMDB0000363;HMDB0000374;HMDB0000464;HMDB0000902;HMDB0000935;HMDB0001032;HMDB0001134;HMDB0001377;HMDB0001425;HMDB0001448;HMDB0001487;HMDB0002111;HMDB0002759;HMDB0002961;HMDB0003178;HMDB0003193;HMDB0003955;HMDB0003959;HMDB0006224;HMDB0006768;HMDB0006769;HMDB0006770;HMDB0059597	33	8	HMDB0000295;HMDB0001377;HMDB0001487;HMDB0000217;HMDB0002111;HMDB0000221;HMDB0059597;HMDB0000902	0.5129743025935098	0.22326454033771106	1.2403278318994415	0.3637254461948147	0.3637254461948147
Ubiquinone and other terpenoid-quinone biosynthesis	map00130	Cofactors and vitamins metabolism	HMDB0000217;HMDB0000221;HMDB0000250;HMDB0000500;HMDB0000939;HMDB0000977;HMDB0001063;HMDB0001185;HMDB0001377;HMDB0002012;HMDB0002111;HMDB0006816;HMDB0006817;HMDB0006818;HMDB0006819;HMDB0006820;HMDB0012188;HMDB0015531;HMDB0036062;HMDB0059597	20	9	HMDB0000221;HMDB0059597;HMDB0012188;HMDB0001377;HMDB0000250;HMDB0002111;HMDB0000217;HMDB0000939;HMDB0001185	0.4967885636744332	0.21348314606741572	1.228387853162948	0.3665305267567285	0.3665305267567285
Ketone Body Metabolism	map00072	Lipid metabolism	HMDB0000011;HMDB0000060;HMDB0000254;HMDB0000902;HMDB0001022;HMDB0001206;HMDB0001375;HMDB0001423;HMDB0001484;HMDB0001487;HMDB0001659;HMDB0001967;HMDB0002111	13	5	HMDB0001967;HMDB0002111;HMDB0000254;HMDB0000902;HMDB0001487	0.5861707065384449	0.222011385199241	1.2107117974700334	0.36698094829498557	0.36698094829498557
Purine metabolism	map00230	Nucleotide metabolism	HMDB0000034;HMDB0000045;HMDB0000050;HMDB0000051;HMDB0000058;HMDB0000071;HMDB0000085;HMDB0000101;HMDB0000123;HMDB0000132;HMDB0000133;HMDB0000134;HMDB0000148;HMDB0000157;HMDB0000175;HMDB0000189;HMDB0000191;HMDB0000195;HMDB0000217;HMDB0000221;HMDB0000250;HMDB0000280;HMDB0000289;HMDB0000292;HMDB0000299;HMDB0000464;HMDB0000536;HMDB0000538;HMDB0000547;HMDB0000586;HMDB0000641;HMDB0000797;HMDB0000902;HMDB0000905;HMDB0000960;HMDB0000972;HMDB0000999;HMDB0001044;HMDB0001128;HMDB0001178;HMDB0001201;HMDB0001235;HMDB0001248;HMDB0001273;HMDB0001308;HMDB0001340;HMDB0001341;HMDB0001351;HMDB0001377;HMDB0001397;HMDB0001429;HMDB0001439;HMDB0001440;HMDB0001487;HMDB0001489;HMDB0001508;HMDB0001517;HMDB0001532;HMDB0001548;HMDB0001554;HMDB0001846;HMDB0001967;HMDB0002022;HMDB0002111;HMDB0002305;HMDB0003125;HMDB0003178;HMDB0003192;HMDB0003335;HMDB0006273;HMDB0011629;HMDB0015531;HMDB0015532	73	20	HMDB0000148;HMDB0000191;HMDB0002111;HMDB0000051;HMDB0001248;HMDB0000902;HMDB0000299;HMDB0000123;HMDB0000538;HMDB0000217;HMDB0001487;HMDB0000134;HMDB0003125;HMDB0000045;HMDB0000221;HMDB0001967;HMDB0001341;HMDB0001377;HMDB0000250;HMDB0001429	0.4069600453117217	0.1824561403508772	1.2549543159552048	0.3681416499512635	0.3681416499512635
Nicotinate and nicotinamide metabolism	map00760	Cofactors and vitamins metabolism	HMDB0000045;HMDB0000148;HMDB0000217;HMDB0000221;HMDB0000229;HMDB0000232;HMDB0000250;HMDB0000280;HMDB0000538;HMDB0000547;HMDB0000641;HMDB0000699;HMDB0000855;HMDB0000902;HMDB0000939;HMDB0001132;HMDB0001178;HMDB0001179;HMDB0001185;HMDB0001248;HMDB0001341;HMDB0001377;HMDB0001406;HMDB0001429;HMDB0001487;HMDB0001488;HMDB0001489;HMDB0001967;HMDB0002111;HMDB0003125;HMDB0004193;HMDB0004194;HMDB0006809;HMDB0012285;HMDB0059597	35	21	HMDB0001487;HMDB0001185;HMDB0000902;HMDB0000939;HMDB0000250;HMDB0001341;HMDB0001429;HMDB0000232;HMDB0012285;HMDB0002111;HMDB0000217;HMDB0001248;HMDB0001967;HMDB0001406;HMDB0001377;HMDB0059597;HMDB0000221;HMDB0003125;HMDB0000045;HMDB0000538;HMDB0000148	0.38326145421478	0.22145328719723184	1.1981047758821688	0.3724211959367473	0.3724211959367473
