"metID" "metID_v2" "HBM_ID" "HMDB_ID_unique"
"HUBMet002134" "HMDB0008942" "HUBMet002134" "HMDB0008942"
"HUBMet002134" "HMDB0008974" "HUBMet002134" "HMDB0008974"
"HUBMet002682" "HMDB0008977" "HUBMet002682" "HMDB0008977"
"HUBMet002682" "HMDB0008978" "HUBMet002682" "HMDB0008978"
"HUBMet002134" "HMDB0009000" "HUBMet002134" "HMDB0009000"
"HUBMet000190" "HMDB0009003" "HUBMet000190" "HMDB0009003"
"HUBMet002134" "HMDB0009032" "HUBMet002134" "HMDB0009032"
"HUBMet002682" "HMDB0009038" "HUBMet002682" "HMDB0009038"
"HUBMet002134" "HMDB0009065" "HUBMet002134" "HMDB0009065"
"HUBMet002682" "HMDB0009071" "HUBMet002682" "HMDB0009071"
"HMDB0009084" "HMDB0009084" NA "HMDB0009084"
"HUBMet002134" "HMDB0009097" "HUBMet002134" "HMDB0009097"
"HUBMet002682" "HMDB0009103" "HUBMet002682" "HMDB0009103"
"HUBMet002682" "HMDB0009133" "HUBMet002682" "HMDB0009133"
"HUBMet002682" "HMDB0009134" "HUBMet002682" "HMDB0009134"
"HUBMet002682" "HMDB0009166" "HUBMet002682" "HMDB0009166"
"HUBMet002682" "HMDB0009167" "HUBMet002682" "HMDB0009167"
"HMDB0009173" "HMDB0009173" NA "HMDB0009173"
"HUBMet002682" "HMDB0009198" "HUBMet002682" "HMDB0009198"
"HUBMet002134" "HMDB0009225" "HUBMet002134" "HMDB0009225"
"HUBMet002134" "HMDB0009256" "HUBMet002134" "HMDB0009256"
"HUBMet002134" "HMDB0009257" "HUBMet002134" "HMDB0009257"
"HUBMet003090" "HMDB0009276" "HUBMet003090" "HMDB0009276"
"HUBMet002134" "HMDB0009288" "HUBMet002134" "HMDB0009288"
"HUBMet002682" "HMDB0009294" "HUBMet002682" "HMDB0009294"
"HMDB0009309" "HMDB0009309" NA "HMDB0009309"
"HUBMet002682" "HMDB0009325" "HUBMet002682" "HMDB0009325"
"HUBMet002682" "HMDB0009326" "HUBMet002682" "HMDB0009326"
"HUBMet002682" "HMDB0009358" "HUBMet002682" "HMDB0009358"
"HUBMet002682" "HMDB0009359" "HUBMet002682" "HMDB0009359"
"HUBMet002682" "HMDB0009390" "HUBMet002682" "HMDB0009390"
"HUBMet002682" "HMDB0009423" "HUBMet002682" "HMDB0009423"
"HUBMet002682" "HMDB0009454" "HUBMet002682" "HMDB0009454"
"HUBMet002682" "HMDB0009455" "HUBMet002682" "HMDB0009455"
"HUBMet002134" "HMDB0009518" "HUBMet002134" "HMDB0009518"
"HMDB0009522" "HMDB0009522" NA "HMDB0009522"
"HUBMet002134" "HMDB0009550" "HUBMet002134" "HMDB0009550"
"HUBMet002682" "HMDB0009617" "HUBMet002682" "HMDB0009617"
"HUBMet002682" "HMDB0009650" "HUBMet002682" "HMDB0009650"
"HMDB0009662" "HMDB0009662" NA "HMDB0009662"
"HUBMet002682" "HMDB0009682" "HUBMet002682" "HMDB0009682"
"HMDB0009696" "HMDB0009696" NA "HMDB0009696"
"HUBMet002134" "HMDB0009746" "HUBMet002134" "HMDB0009746"
"HUBMet001152" "HMDB0009793" "HUBMet001152" "HMDB0009793"
"HUBMet001152" "HMDB0009794" "HUBMet001152" "HMDB0009794"
"HUBMet001152" "HMDB0009816" "HUBMet001152" "HMDB0009816"
"HUBMet002227" "HMDB0009821" "HUBMet002227" "HMDB0009821"
"HUBMet001152" "HMDB0009830" "HUBMet001152" "HMDB0009830"
"HUBMet001152" "HMDB0009831" "HUBMet001152" "HMDB0009831"
"HUBMet001152" "HMDB0009842" "HUBMet001152" "HMDB0009842"
"HUBMet001152" "HMDB0009843" "HUBMet001152" "HMDB0009843"
"HUBMet001152" "HMDB0009853" "HUBMet001152" "HMDB0009853"
"HUBMet002227" "HMDB0009861" "HUBMet002227" "HMDB0009861"
"HUBMet002227" "HMDB0009865" "HUBMet002227" "HMDB0009865"
"HUBMet001152" "HMDB0009877" "HUBMet001152" "HMDB0009877"
"HUBMet001152" "HMDB0009881" "HUBMet001152" "HMDB0009881"
"HUBMet001152" "HMDB0009882" "HUBMet001152" "HMDB0009882"
"HUBMet002227" "HMDB0009884" "HUBMet002227" "HMDB0009884"
"HUBMet002227" "HMDB0009885" "HUBMet002227" "HMDB0009885"
"HUBMet001152" "HMDB0009888" "HUBMet001152" "HMDB0009888"
"HUBMet001152" "HMDB0009889" "HUBMet001152" "HMDB0009889"
"HUBMet002227" "HMDB0009891" "HUBMet002227" "HMDB0009891"
"HUBMet002227" "HMDB0009892" "HUBMet002227" "HMDB0009892"
"HUBMet001152" "HMDB0009894" "HUBMet001152" "HMDB0009894"
"HUBMet001152" "HMDB0009900" "HUBMet001152" "HMDB0009900"
"HUBMet002227" "HMDB0009910" "HUBMet002227" "HMDB0009910"
"HUBMet002227" "HMDB0009911" "HUBMet002227" "HMDB0009911"
"HUBMet001152" "HMDB0009912" "HUBMet001152" "HMDB0009912"
"HUBMet001152" "HMDB0009914" "HUBMet001152" "HMDB0009914"
"HUBMet002227" "HMDB0009920" "HUBMet002227" "HMDB0009920"
"HUBMet001737" "HMDB0010391" "HUBMet001737" "HMDB0010391"
"HUBMet000637" "HMDB0010403" "HUBMet000637" "HMDB0010403"
"HUBMet002548" "HMDB0010432" "HUBMet002548" "HMDB0010432"
"HUBMet002548" "HMDB0010439" "HUBMet002548" "HMDB0010439"
"HUBMet002548" "HMDB0010442" "HUBMet002548" "HMDB0010442"
"HUBMet002548" "HMDB0010443" "HUBMet002548" "HMDB0010443"
"HUBMet002787" "HMDB0010614" "HUBMet002787" "HMDB0010614"
"HUBMet002787" "HMDB0010627" "HUBMet002787" "HMDB0010627"
"HUBMet002787" "HMDB0010628" "HUBMet002787" "HMDB0010628"
"HUBMet002787" "HMDB0010642" "HUBMet002787" "HMDB0010642"
"HUBMet002787" "HMDB0010643" "HUBMet002787" "HMDB0010643"
"HUBMet002787" "HMDB0010656" "HUBMet002787" "HMDB0010656"
"HMDB0010659" "HMDB0010659" NA "HMDB0010659"
"HUBMet000162" "HMDB0011211" "HUBMet000162" "HMDB0011211"
"HUBMet002048" "HMDB0011212" "HUBMet002048" "HMDB0011212"
"HUBMet002048" "HMDB0011213" "HUBMet002048" "HMDB0011213"
"HUBMet002055" "HMDB0011216" "HUBMet002055" "HMDB0011216"
"HUBMet001908" "HMDB0011218" "HUBMet001908" "HMDB0011218"
"HUBMet001908" "HMDB0011219" "HUBMet001908" "HMDB0011219"
"HUBMet002055" "HMDB0011242" "HUBMet002055" "HMDB0011242"
"HUBMet001908" "HMDB0011245" "HUBMet001908" "HMDB0011245"
"HUBMet001908" "HMDB0011246" "HUBMet001908" "HMDB0011246"
"HUBMet002055" "HMDB0011274" "HUBMet002055" "HMDB0011274"
"HUBMet001908" "HMDB0011277" "HUBMet001908" "HMDB0011277"
"HUBMet002055" "HMDB0011307" "HUBMet002055" "HMDB0011307"
"HUBMet001908" "HMDB0011310" "HUBMet001908" "HMDB0011310"
"HUBMet002134" "HMDB0011356" "HUBMet002134" "HMDB0011356"
"HUBMet002682" "HMDB0011359" "HUBMet002682" "HMDB0011359"
"HUBMet002682" "HMDB0011360" "HUBMet002682" "HMDB0011360"
"HUBMet002134" "HMDB0011381" "HUBMet002134" "HMDB0011381"
"HUBMet002134" "HMDB0011413" "HUBMet002134" "HMDB0011413"
"HUBMet002682" "HMDB0011418" "HUBMet002682" "HMDB0011418"
"HUBMet002682" "HMDB0011419" "HUBMet002682" "HMDB0011419"
"HUBMet002134" "HMDB0011446" "HUBMet002134" "HMDB0011446"
"HUBMet002682" "HMDB0011451" "HUBMet002682" "HMDB0011451"
"HUBMet002682" "HMDB0011452" "HUBMet002682" "HMDB0011452"
"HMDB0011938" "HMDB0011938" NA "HMDB0011938"
"HMDB0011944" "HMDB0011944" NA "HMDB0011944"
"HMDB0011952" "HMDB0011952" NA "HMDB0011952"
"HMDB0012048" "HMDB0012048" NA "HMDB0012048"
"HMDB0012276" "HMDB0012276" NA "HMDB0012276"
"HMDB0012368" "HMDB0012368" NA "HMDB0012368"
"HMDB0012935" "HMDB0012935" NA "HMDB0012935"
"HMDB0013028" "HMDB0013028" NA "HMDB0013028"
"HMDB0013209" "HMDB0013209" NA "HMDB0013209"
"HMDB0013868" "HMDB0013868" NA "HMDB0013868"
"HMDB0013889" "HMDB0013889" NA "HMDB0013889"
"HUBMet003725" "HMDB0014515" "HUBMet003725" "HMDB0014515"
"HMDB0014754" "HMDB0014754" NA "HMDB0014754"
"HUBMet002239" "HMDB0014773" "HUBMet002239" "HMDB0014773"
"HUBMet003786" "HMDB0015017" "HUBMet003786" "HMDB0015017"
"HMDB0015087" "HMDB0015087" NA "HMDB0015087"
"HUBMet003749" "HMDB0015140" "HUBMet003749" "HMDB0015140"
"HUBMet002441" "HMDB0015150" "HUBMet002441" "HMDB0015150"
"HMDB0015166" "HMDB0015166" NA "HMDB0015166"
"HMDB0015548" "HMDB0015548" NA "HMDB0015548"
"HMDB0015603" "HMDB0015603" NA "HMDB0015603"
"HMDB0015623" "HMDB0015623" NA "HMDB0015623"
"HMDB0028808" "HMDB0028808" NA "HMDB0028808"
"HUBMet000734" "HMDB0032332" "HUBMet000734" "HMDB0032332"
"HUBMet000877" "HMDB0041900" "HUBMet000877" "HMDB0041900"
"HUBMet001478" "HMDB0056110" "HUBMet001478" "HMDB0056110"
"HUBMet001486" "HMDB0056233" "HUBMet001486" "HMDB0056233"
"HUBMet001486" "HMDB0056243" "HUBMet001486" "HMDB0056243"
"HUBMet001478" "HMDB0056260" "HUBMet001478" "HMDB0056260"
"HUBMet001478" "HMDB0056265" "HUBMet001478" "HMDB0056265"
"HUBMet001478" "HMDB0056279" "HUBMet001478" "HMDB0056279"
"HUBMet001486" "HMDB0056314" "HUBMet001486" "HMDB0056314"
"HUBMet001486" "HMDB0056319" "HUBMet001486" "HMDB0056319"
"HUBMet001486" "HMDB0056324" "HUBMet001486" "HMDB0056324"
"HUBMet001478" "HMDB0056343" "HUBMet001478" "HMDB0056343"
"HUBMet001486" "HMDB0056348" "HUBMet001486" "HMDB0056348"
"HUBMet000010" "HMDB0060475" "HUBMet000010" "HMDB0060475"
"HUBMet001625" "HMDB0061715" "HUBMet001625" "HMDB0061715"
"HUBMet000139" "HMDB0061880" "HUBMet000139" "HMDB0061880"
"HUBMet000003" "HMDB0062251" "HUBMet000003" "HMDB0062251"
"HUBMet000065" "HMDB0062558" "HUBMet000065" "HMDB0062558"
"HUBMet002787" "HMDB0116579" "HUBMet002787" "HMDB0116579"
"HUBMet002787" "HMDB0116580" "HUBMet002787" "HMDB0116580"
"HUBMet002787" "HMDB0116582" "HUBMet002787" "HMDB0116582"
"HUBMet002787" "HMDB0116583" "HUBMet002787" "HMDB0116583"
"HUBMet002787" "HMDB0116586" "HUBMet002787" "HMDB0116586"
"HUBMet002787" "HMDB0116593" "HUBMet002787" "HMDB0116593"
"HUBMet002787" "HMDB0116616" "HUBMet002787" "HMDB0116616"
"HUBMet002787" "HMDB0116617" "HUBMet002787" "HMDB0116617"
"HUBMet002787" "HMDB0116624" "HUBMet002787" "HMDB0116624"
"HUBMet002787" "HMDB0116625" "HUBMet002787" "HMDB0116625"
"HUBMet002787" "HMDB0116630" "HUBMet002787" "HMDB0116630"
"HUBMet000747" "HMDB0240479" "HUBMet000747" "HMDB0240479"
"HUBMet000435" "HMDB0241915" "HUBMet000435" "HMDB0241915"
"HUBMet000258" "HMDB0244344" "HUBMet000258" "HMDB0244344"
"HUBMet000012" "HMDB0251512" "HUBMet000012" "HMDB0251512"
"HUBMet003786" "HMDB0251822" "HUBMet003786" "HMDB0251822"
"HUBMet000035" "HMDB0255053" "HUBMet000035" "HMDB0255053"
"HUBMet001112" "HUBMet001112" "HUBMet001112" NA
"HUBMet001690" "HUBMet001690" "HUBMet001690" NA
