"KEGG_pathway_name"	"KEGG_pathway_ID"	"Pathway_Class"	"HMDB.ID"	"N_met"
"Glycolysis / Gluconeogenesis"	"map00010"	"Carbohydrate metabolism"	"HMDB0000030;HMDB0000122;HMDB0000124;HMDB0000156;HMDB0000190;HMDB0000208;HMDB0000223;HMDB0000243;HMDB0000263;HMDB0000538;HMDB0000547;HMDB0000586;HMDB0000595;HMDB0000807;HMDB0000902;HMDB0001058;HMDB0001112;HMDB0001201;HMDB0001270;HMDB0001273;HMDB0001294;HMDB0001333;HMDB0001341;HMDB0001401;HMDB0001429;HMDB0001473;HMDB0001487;HMDB0001586;HMDB0001967;HMDB0002111;HMDB0003345;HMDB0003391;HMDB0003498;HMDB0059597"	34
"Nitrogen metabolism"	"map00910"	"Energy metabolism"	"HMDB0000030;HMDB0000045;HMDB0000051;HMDB0000123;HMDB0000148;HMDB0000168;HMDB0000177;HMDB0000187;HMDB0000191;HMDB0000208;HMDB0000243;HMDB0000250;HMDB0000301;HMDB0000538;HMDB0000547;HMDB0000641;HMDB0000902;HMDB0001096;HMDB0001248;HMDB0001341;HMDB0001429;HMDB0001451;HMDB0001487;HMDB0001491;HMDB0001533;HMDB0001846;HMDB0001967;HMDB0002111;HMDB0012210;HMDB0013639;HMDB0014312"	31
"Pyruvate metabolism"	"map00620"	"Carbohydrate metabolism"	"HMDB0000030;HMDB0000042;HMDB0000045;HMDB0000125;HMDB0000156;HMDB0000190;HMDB0000217;HMDB0000221;HMDB0000223;HMDB0000243;HMDB0000250;HMDB0000263;HMDB0000538;HMDB0000547;HMDB0000586;HMDB0000595;HMDB0000902;HMDB0000962;HMDB0000985;HMDB0000990;HMDB0001066;HMDB0001167;HMDB0001175;HMDB0001201;HMDB0001206;HMDB0001248;HMDB0001273;HMDB0001311;HMDB0001333;HMDB0001341;HMDB0001362;HMDB0001372;HMDB0001423;HMDB0001429;HMDB0001484;HMDB0001487;HMDB0001494;HMDB0001881;HMDB0001967;HMDB0002111;HMDB0003052;HMDB0003904;HMDB0006458;HMDB0006878;HMDB0006880;HMDB0015532;HMDB0059597"	47
"Steroid biosynthesis"	"map00100"	"Lipid metabolism"	"HMDB0000032;HMDB0000067;HMDB0000142;HMDB0000217;HMDB0000220;HMDB0000221;HMDB0000227;HMDB0000250;HMDB0000256;HMDB0000538;HMDB0000547;HMDB0000876;HMDB0000961;HMDB0001023;HMDB0001090;HMDB0001120;HMDB0001170;HMDB0001188;HMDB0001206;HMDB0001217;HMDB0001248;HMDB0001251;HMDB0001278;HMDB0001285;HMDB0001286;HMDB0001341;HMDB0001343;HMDB0001347;HMDB0001375;HMDB0001377;HMDB0001423;HMDB0001429;HMDB0001484;HMDB0001967;HMDB0002027;HMDB0002111;HMDB0002719;HMDB0003178;HMDB0003896;HMDB0006271;HMDB0006838;HMDB0006839;HMDB0006840;HMDB0006841;HMDB0006842;HMDB0006927;HMDB0010368;HMDB0015531"	48
"Purine metabolism"	"map00230"	"Nucleotide metabolism"	"HMDB0000034;HMDB0000045;HMDB0000050;HMDB0000051;HMDB0000058;HMDB0000071;HMDB0000085;HMDB0000101;HMDB0000123;HMDB0000132;HMDB0000133;HMDB0000134;HMDB0000148;HMDB0000157;HMDB0000175;HMDB0000189;HMDB0000191;HMDB0000195;HMDB0000217;HMDB0000221;HMDB0000250;HMDB0000280;HMDB0000289;HMDB0000292;HMDB0000299;HMDB0000464;HMDB0000536;HMDB0000538;HMDB0000547;HMDB0000586;HMDB0000641;HMDB0000797;HMDB0000902;HMDB0000905;HMDB0000960;HMDB0000972;HMDB0000999;HMDB0001044;HMDB0001128;HMDB0001178;HMDB0001201;HMDB0001235;HMDB0001248;HMDB0001273;HMDB0001308;HMDB0001340;HMDB0001341;HMDB0001351;HMDB0001377;HMDB0001397;HMDB0001429;HMDB0001439;HMDB0001440;HMDB0001487;HMDB0001489;HMDB0001508;HMDB0001517;HMDB0001532;HMDB0001548;HMDB0001554;HMDB0001846;HMDB0001967;HMDB0002022;HMDB0002111;HMDB0002305;HMDB0003125;HMDB0003178;HMDB0003192;HMDB0003335;HMDB0006273;HMDB0011629;HMDB0015531;HMDB0015532"	73
"Primary bile acid biosynthesis"	"map00120"	"Lipid metabolism"	"HMDB0000036;HMDB0000067;HMDB0000123;HMDB0000138;HMDB0000217;HMDB0000220;HMDB0000221;HMDB0000250;HMDB0000251;HMDB0000359;HMDB0000518;HMDB0000538;HMDB0000601;HMDB0000619;HMDB0000626;HMDB0000631;HMDB0000637;HMDB0000698;HMDB0000722;HMDB0000761;HMDB0000896;HMDB0000902;HMDB0000951;HMDB0001231;HMDB0001248;HMDB0001275;HMDB0001341;HMDB0001374;HMDB0001377;HMDB0001419;HMDB0001423;HMDB0001457;HMDB0001487;HMDB0001496;HMDB0001993;HMDB0002103;HMDB0002111;HMDB0002159;HMDB0002197;HMDB0003178;HMDB0003533;HMDB0003540;HMDB0006247;HMDB0006280;HMDB0006281;HMDB0006292;HMDB0006737;HMDB0006887;HMDB0006888;HMDB0006889;HMDB0006890;HMDB0006891;HMDB0006892;HMDB0006893;HMDB0006894;HMDB0006895;HMDB0011644;HMDB0012453;HMDB0012454;HMDB0012455;HMDB0012456;HMDB0012457;HMDB0012458;HMDB0012459;HMDB0015531"	65
"Butanoate metabolism"	"map00650"	"Carbohydrate metabolism"	"HMDB0000039;HMDB0000045;HMDB0000060;HMDB0000250;HMDB0000254;HMDB0000538;HMDB0000547;HMDB0000902;HMDB0001022;HMDB0001088;HMDB0001166;HMDB0001206;HMDB0001248;HMDB0001375;HMDB0001423;HMDB0001484;HMDB0001487;HMDB0002009;HMDB0002111"	19
"Amino sugar and nucleotide sugar metabolism"	"map00520"	"Carbohydrate metabolism"	"HMDB0000042;HMDB0000051;HMDB0000082;HMDB0000124;HMDB0000143;HMDB0000148;HMDB0000215;HMDB0000230;HMDB0000243;HMDB0000250;HMDB0000263;HMDB0000285;HMDB0000286;HMDB0000290;HMDB0000295;HMDB0000302;HMDB0000538;HMDB0000547;HMDB0000641;HMDB0000645;HMDB0000660;HMDB0000902;HMDB0000935;HMDB0001018;HMDB0001062;HMDB0001121;HMDB0001129;HMDB0001176;HMDB0001206;HMDB0001254;HMDB0001341;HMDB0001367;HMDB0001401;HMDB0001423;HMDB0001429;HMDB0001487;HMDB0001514;HMDB0001586;HMDB0001967;HMDB0002111;HMDB0003345;HMDB0003362;HMDB0003556;HMDB0004270;HMDB0006268;HMDB0015531;HMDB0015532"	47
"Fatty acid degradation"	"map00071"	"Lipid metabolism"	"HMDB0000045;HMDB0000062;HMDB0000220;HMDB0000222;HMDB0000250;HMDB0000538;HMDB0000547;HMDB0000902;HMDB0001070;HMDB0001088;HMDB0001166;HMDB0001206;HMDB0001248;HMDB0001338;HMDB0001339;HMDB0001423;HMDB0001484;HMDB0001487;HMDB0001521;HMDB0001967;HMDB0002009;HMDB0002111;HMDB0002845;HMDB0003571;HMDB0003932;HMDB0003934;HMDB0003935;HMDB0003936;HMDB0003937;HMDB0003938;HMDB0003939;HMDB0003940;HMDB0003941;HMDB0003942;HMDB0003943;HMDB0003944;HMDB0003945;HMDB0003946;HMDB0003948;HMDB0003949;HMDB0006402;HMDB0006404;HMDB0059597"	43
"Nicotinate and nicotinamide metabolism"	"map00760"	"Cofactors and vitamins metabolism"	"HMDB0000045;HMDB0000148;HMDB0000217;HMDB0000221;HMDB0000229;HMDB0000232;HMDB0000250;HMDB0000280;HMDB0000538;HMDB0000547;HMDB0000641;HMDB0000699;HMDB0000855;HMDB0000902;HMDB0000939;HMDB0001132;HMDB0001178;HMDB0001179;HMDB0001185;HMDB0001248;HMDB0001341;HMDB0001377;HMDB0001406;HMDB0001429;HMDB0001487;HMDB0001488;HMDB0001489;HMDB0001967;HMDB0002111;HMDB0003125;HMDB0004193;HMDB0004194;HMDB0006809;HMDB0012285;HMDB0059597"	35
